Name,G,PTS,TRB,AST,STL,BLK,FG_PCT,3P_PCT,FT_PCT,WS,WS_PerMin,TotalAllStar,FirstAllD,SecondAllD,TotalAllD,FirstAllNBA,SecondAllNBA,ThirdAllNBA,TotalAllNBA,HoF
Dick Van Arsdale,921.0,16.4,4.1,3.3,0.3,0.0,0.464,0.0,0.79,75.2,0.114,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No
Michael Cage,1140.0,7.3,7.6,0.9,0.9,0.6,0.515,0.0,0.664,74.4,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Luol Deng,902.0,14.8,6.1,2.3,1.0,0.5,0.456,0.332,0.769,74.0,0.115,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No
Alvan Adams,988.0,14.1,7.0,4.1,1.3,0.8,0.498,0.133,0.788,73.5,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Kyle Korver,1232.0,9.7,3.0,1.7,0.7,0.3,0.442,0.429,0.877,73.4,0.113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Nenê,965.0,11.3,6.0,1.8,1.1,0.7,0.548,0.132,0.66,73.3,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Mike Bibby,1001.0,14.7,3.1,5.5,1.2,0.1,0.436,0.379,0.802,73.2,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Bill Cartwright,963.0,13.2,6.3,1.4,0.5,0.7,0.525,0.0,0.771,72.8,0.127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Ricky Pierce,969.0,14.9,2.4,1.9,0.8,0.2,0.493,0.322,0.875,72.2,0.146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Mookie Blaylock,889.0,13.5,4.1,6.7,2.3,0.3,0.409,0.336,0.736,71.8,0.111,1.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,No
Danny Ainge,1042.0,11.5,2.7,4.0,1.1,0.1,0.469,0.378,0.846,71.5,0.124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Shareef Abdur-Rahim,830.0,18.1,7.5,2.5,1.0,0.8,0.472,0.297,0.81,71.2,0.118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Mark Price,722.0,15.2,2.6,6.7,1.2,0.1,0.472,0.402,0.904,71.1,0.158,4.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,No
Al Jefferson,915.0,15.7,8.4,1.5,0.7,1.2,0.499,0.121,0.711,71.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Brent Barry,912.0,9.3,3.0,3.2,1.0,0.3,0.46,0.405,0.823,70.5,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Hot Rod Williams,887.0,11.0,6.8,1.8,0.8,1.6,0.48,0.105,0.726,70.5,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Billy Paultz,1124.0,11.7,8.0,2.0,0.4,1.3,0.497,0.0,0.69,70.4,0.111,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Happy Hairston,776.0,14.8,10.3,1.6,0.1,0.0,0.478,0.0,0.741,70.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Antonio McDyess,1015.0,12.0,7.5,1.3,0.8,1.1,0.497,0.117,0.67,69.8,0.119,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Larry Johnson,707.0,16.2,7.5,3.3,0.7,0.4,0.484,0.332,0.766,69.7,0.13,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,No
Jerome Kersey,1153.0,10.3,5.5,1.9,1.2,0.7,0.465,0.201,0.69,69.5,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Maurice Lucas,1021.0,14.6,9.1,2.4,0.8,0.6,0.471,0.143,0.765,69.0,0.11,5.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,No
John Drew,739.0,20.7,6.9,1.7,1.4,0.3,0.47,0.175,0.748,68.9,0.152,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Doc Rivers,864.0,10.9,3.0,5.7,1.8,0.4,0.444,0.328,0.784,68.2,0.139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Gus Williams,825.0,17.1,2.7,5.6,2.0,0.4,0.461,0.238,0.756,67.9,0.127,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,No
Mark Aguirre,923.0,20.0,5.0,3.1,0.7,0.3,0.484,0.312,0.741,67.8,0.117,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
World B. Free,886.0,20.3,2.7,3.7,1.0,0.3,0.456,0.337,0.753,67.7,0.121,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,No
Reggie Theus,1026.0,18.5,3.3,6.3,1.2,0.2,0.471,0.252,0.826,66.9,0.093,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Dan Roundfield,813.0,14.3,9.2,2.0,0.9,1.4,0.482,0.111,0.735,66.5,0.132,3.0,3.0,2.0,5.0,0.0,1.0,0.0,1.0,No
Robert Horry,1107.0,7.0,4.8,2.1,1.0,0.9,0.425,0.341,0.726,66.3,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Zydrunas Ilgauskas,843.0,13.0,7.3,1.1,0.5,1.6,0.476,0.31,0.78,66.3,0.139,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Caldwell Jones,1299.0,7.9,8.2,1.4,0.5,1.8,0.474,0.123,0.756,66.2,0.091,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,No
Jermaine O'Neal,1011.0,13.2,7.2,1.4,0.5,1.8,0.467,0.147,0.715,66.0,0.116,6.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,No
Terrell Brandon,724.0,13.8,3.0,6.1,1.6,0.3,0.448,0.355,0.873,65.9,0.147,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Ron Harper,1009.0,13.8,4.3,3.9,1.7,0.7,0.446,0.289,0.72,65.8,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Eddie Johnson,1199.0,16.0,4.0,2.1,0.6,0.2,0.472,0.335,0.84,65.6,0.097,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,No
Brad Daugherty,548.0,19.0,9.5,3.7,0.8,0.7,0.532,0.143,0.747,65.2,0.156,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Marvin Williams,1072.0,10.2,5.2,1.3,0.8,0.5,0.443,0.361,0.808,65.1,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Christian Laettner,868.0,12.8,6.7,2.6,1.1,0.8,0.48,0.261,0.82,64.9,0.121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Archie Clark,725.0,16.3,3.3,4.8,0.3,0.0,0.48,0.0,0.769,64.7,0.132,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,No
Derrick Coleman,781.0,16.5,9.3,2.5,0.8,1.3,0.447,0.295,0.769,64.3,0.119,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,No
Bob Boozer,874.0,14.8,8.1,1.4,0.0,0.0,0.462,0.0,0.761,64.2,0.121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Dave Robisch,930.0,11.4,6.6,1.8,0.5,0.5,0.464,0.0,0.798,64.2,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Kurt Thomas,1110.0,8.1,6.6,1.1,0.7,0.8,0.486,0.281,0.76,64.2,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Billy Knight,821.0,16.9,5.3,2.3,1.0,0.2,0.507,0.284,0.827,63.9,0.129,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,No
Tree Rollins,1156.0,5.4,5.8,0.6,0.4,2.2,0.522,0.0,0.7,63.9,0.128,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,No
Hedo Türkoğlu,997.0,11.1,4.0,2.8,0.8,0.3,0.426,0.384,0.784,63.3,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Fred Brown,963.0,14.6,2.7,3.3,1.4,0.2,0.478,0.373,0.858,63.2,0.124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Baron Davis,835.0,16.1,3.8,7.2,1.8,0.4,0.409,0.32,0.711,63.1,0.106,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Tayshaun Prince,1017.0,11.1,4.3,2.4,0.6,0.5,0.455,0.367,0.756,63.1,0.096,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,No
Elden Campbell,1044.0,10.3,5.9,1.1,0.7,1.5,0.46,0.054,0.699,62.8,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Richard Hamilton,921.0,17.1,3.1,3.4,0.8,0.1,0.449,0.346,0.852,62.8,0.102,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
